حمادي الجبالي,464,قائمة حركة النهضة
منية إبراهيم,464,قائمة حركة النهضة
زياد العذاري,464,قائمة حركة النهضة
فطومة عطية,464,قائمة حركة النهضة
محمد كريم كريفة,447,قائمة حزب المبادرة
منى بن نصر,447,قائمة حزب المبادرة
طاهر هميلة,446,قائمة حزب المؤتمر من أجل الجمهورية
اسكندر بوعلاقي,500,قائمة العريضة الشعبية للحرية والعدالة والتنمية
صالح شعيب,430,قائمة حزب التكتل الديمقراطي من أجل العمل والحريات
محمد قحبيش,137,قائمة الحزب الديمقراطي التقدمي
