سمير ديلو,464,قائمة حركة النهضة
عائشة الذوادي,464,قائمة حركة النهضة
بشير اللزام,464,قائمة حركة النهضة
آسية النفاتي,464,قائمة حركة النهضة
هشام بن جامع,446,قائمة حزب المؤتمر من أجل الجمهورية
محمد العلوش,430,قائمة حزب التكتل الديمقراطي من أجل العمل والحريات
مراد العمدوني,386,قائمة حركة الشعب
مهدي بن غربية,137,قائمة الحزب الديمقراطي التقدمي
محمد الصالح شعيرات,500,قائمة العريضة الشعبية للحرية والعدالة والتنمية
