سليمان هلال,464,قائمة حركة النهضة
زهرة صميدة,464,قائمة حركة النهضة
عبد الحليم زواري,464,قائمة حركة النهضة
عبد السلام شعبان,446,قائمة حزب المؤتمر من أجل الجمهورية
حسن رضواني,500,قائمة العريضة الشعبية للحرية والعدالة والتنمية
فيصل جدلاوي,8,القائمة المستقلة العدالة
محمد كحيلة,137,قائمة الحزب الديمقراطي التقدمي
